Player,Position,Team,College
Elijah Campbell,Safety,Miami Dolphins,Northern Iowa
Trevor Penning,Offensive Tackle,New Orleans Saints,Northern Iowa
Sam Roberts,Defensive Tackle,Carolina Panthers,Northwest Missouri St
Adetomiwa Adebawore,Defensive Tackle,Indianapolis Colts,Northwestern
Earnest Brown IV,Defensive End,Tampa Bay Buccaneers,Northwestern
Blake Hance,Guard,Jacksonville Jaguars,Northwestern
Justin Jackson,Running Back,Detroit Lions,Northwestern
Dean Lowry,Defensive Tackle,Pittsburgh Steelers,Northwestern
Cameron Mitchell,Cornerback,Cleveland Browns,Northwestern
Peter Skoronski,Offensive Tackle,Tennessee Titans,Northwestern
Rashawn Slater,Offensive Tackle,Los Angeles Chargers,Northwestern
Anthony Walker Jr.,Linebacker,Miami Dolphins,Northwestern
Joe Alt,Offensive Tackle,Los Angeles Chargers,Notre Dame
Brandon Aubrey,Place kicker,Dallas Cowboys,Notre Dame
Kevin Austin Jr.,Wide Receiver,New Orleans Saints,Notre Dame
Aaron Banks,Guard,San Francisco 49ers,Notre Dame
JD Bertrand,Linebacker,Atlanta Falcons,Notre Dame
Scott Daly,Long Snapper,Chicago Bears,Notre Dame
Sheldon Day,Defensive Tackle,Washington Commanders,Notre Dame
Liam Eichenberg,Offensive Tackle,Miami Dolphins,Notre Dame
Audric Estime,Running Back,Denver Broncos,Notre Dame
Blake Fisher,Offensive Tackle,Houston Texans,Notre Dame
Isaiah Foskey,Defensive End,New Orleans Saints,Notre Dame
Blake Grupe,Place kicker,New Orleans Saints,Notre Dame
Robert Hainsey,Center,Tampa Bay Buccaneers,Notre Dame
Kyle Hamilton,Safety,Baltimore Ravens,Notre Dame
Thomas Harper,Safety,Las Vegas Raiders,Notre Dame
Cam Hart,Cornerback,Los Angeles Chargers,Notre Dame
Kurt Hinish,Defensive Tackle,Houston Texans,Notre Dame
JJ Jansen,Long Snapper,Carolina Panthers,Notre Dame
Javontae Jean-Baptiste,Defensive End,Washington Commanders,Notre Dame
Tony Jones Jr.,Running Back,Arizona Cardinals,Notre Dame
Cole Kmet,Tight End,Chicago Bears,Notre Dame
Marist Liufau,Linebacker,Dallas Cowboys,Notre Dame
Julian Love,Safety,Seattle Seahawks,Notre Dame
Michael Mayer,Tight End,Las Vegas Raiders,Notre Dame
Nick McCloud,Cornerback,San Francisco 49ers,Notre Dame
Mike McGlinchey,Offensive Tackle,Denver Broncos,Notre Dame
Sam Mustipher,Center,Los Angeles Chargers,Notre Dame
Quenton Nelson,Guard,Indianapolis Colts,Notre Dame
Julian Okwara,Linebacker,Arizona Cardinals,Notre Dame
Jarrett Patterson,Center,Houston Texans,Notre Dame
Ben Skowronek,Wide Receiver,Pittsburgh Steelers,Notre Dame
Harrison Smith,Safety,Minnesota Vikings,Notre Dame
Chris Smith,Defensive Tackle,Detroit Lions,Notre Dame
Durham Smythe,Tight End,Miami Dolphins,Notre Dame
Ronnie Stanley,Offensive Tackle,Baltimore Ravens,Notre Dame
Jerry Tillery,Defensive Tackle,Minnesota Vikings,Notre Dame
Drue Tranquill,Linebacker,Kansas City Chiefs,Notre Dame
Tommy Tremble,Tight End,Carolina Panthers,Notre Dame
Kyren Williams,Running Back,Los Angeles Rams,Notre Dame
Brock Wright,Tight End,Detroit Lions,Notre Dame
Austen Pleasants,Offensive Tackle,San Francisco 49ers,Ohio
Jerome Baker,Linebacker,Tennessee Titans,Ohio State
Vonn Bell,Safety,Cincinnati Bengals,Ohio State
Joey Bosa,Linebacker,Los Angeles Chargers,Ohio State
Nick Bosa,Defensive End,San Francisco 49ers,Ohio State
Baron Browning,Linebacker,Arizona Cardinals,Ohio State
Jonathon Cooper,Linebacker,Denver Broncos,Ohio State
Taylor Decker,Offensive Tackle,Detroit Lions,Ohio State
Tommy Eichenberg,Linebacker,Las Vegas Raiders,Ohio State
Ezekiel Elliott,Running Back,Dallas Cowboys,Ohio State
Luke Farrell,Tight End,Jacksonville Jaguars,Ohio State
Justin Fields,Quarterback,Pittsburgh Steelers,Ohio State
Jordan Fuller,Safety,Carolina Panthers,Ohio State
Mike Hall Jr.,Defensive Tackle,Cleveland Browns,Ohio State
DaVon Hamilton,Defensive Tackle,Jacksonville Jaguars,Ohio State
Johnathan Hankins,Defensive Tackle,Seattle Seahawks,Ohio State
Malik Harrison,Linebacker,Baltimore Ravens,Ohio State
Zach Harrison,Defensive End,Atlanta Falcons,Ohio State
Marvin Harrison Jr.,Wide Receiver,Arizona Cardinals,Ohio State
Cameron Heyward,Defensive Tackle,Pittsburgh Steelers,Ohio State
Ronnie Hickman,Safety,Cleveland Browns,Ohio State
Jalyn Holmes,Defensive Tackle,Washington Commanders,Ohio State
Malik Hooker,Safety,Dallas Cowboys,Ohio State
Sam Hubbard,Defensive End,Cincinnati Bengals,Ohio State
Jonah Jackson,Guard,Los Angeles Rams,Ohio State
Paris Johnson Jr.,Offensive Tackle,Arizona Cardinals,Ohio State
Dre'Mont Jones,Defensive End,Seattle Seahawks,Ohio State
Marshon Lattimore,Cornerback,Washington Commanders,Ohio State
Tyquan Lewis,Defensive End,Indianapolis Colts,Ohio State
Liam McCullough,Long Snapper,Atlanta Falcons,Ohio State
Terry McLaurin,Wide Receiver,Washington Commanders,Ohio State
Jake McQuaide,Long Snapper,Miami Dolphins,Ohio State
Thayer Munford Jr.,Offensive Tackle,Las Vegas Raiders,Ohio State
Josh Myers,Center,Green Bay Packers,Ohio State
Jeff Okudah,Cornerback,Houston Texans,Ohio State
Nicholas Petit-Frere,Offensive Tackle,Tennessee Titans,Ohio State
Jeremy Ruckert,Tight End,New York Jets,Ohio State
Curtis Samuel,Wide Receiver,Buffalo Bills,Ohio State
Trey Sermon,Running Back,Indianapolis Colts,Ohio State
Kendall Sheffield,Cornerback,New York Jets,Ohio State
Jaxon Smith-Njigba,Wide Receiver,Seattle Seahawks,Ohio State
Cade Stover,Tight End,Houston Texans,Ohio State
C.J. Stroud,Quarterback,Houston Texans,Ohio State
Tommy Togiai,Defensive Tackle,Houston Texans,Ohio State
Nick Vannett,Tight End,Tennessee Titans,Ohio State
Denzel Ward,Cornerback,Cleveland Browns,Ohio State
Pete Werner,Linebacker,New Orleans Saints,Ohio State
Garrett Wilson,Wide Receiver,New York Jets,Ohio State
Chase Young,Defensive End,New Orleans Saints,Ohio State
Mark Andrews,Tight End,Baltimore Ravens,Oklahoma
Brian Asamoah II,Linebacker,Minnesota Vikings,Oklahoma
Nik Bonitto,Linebacker,Denver Broncos,Oklahoma
Hollywood Brown,Wide Receiver,Kansas City Chiefs,Oklahoma
Tre Brown,Cornerback,Seattle Seahawks,Oklahoma
Orlando Brown Jr.,Offensive Tackle,Cincinnati Bengals,Oklahoma
Cody Ford,Guard,Cincinnati Bengals,Oklahoma
Neville Gallimore,Defensive Tackle,Los Angeles Rams,Oklahoma
Eric Gray,Running Back,New York Giants,Oklahoma
Tyler Guyton,Offensive Tackle,Dallas Cowboys,Oklahoma
Anton Harrison,Offensive Tackle,Jacksonville Jaguars,Oklahoma
Creed Humphrey,Center,Kansas City Chiefs,Oklahoma
Jalen Hurts,Quarterback,Philadelphia Eagles,Oklahoma
Tony Jefferson,Safety,Los Angeles Chargers,Oklahoma
Lane Johnson,Offensive Tackle,Philadelphia Eagles,Oklahoma
CeeDee Lamb,Wide Receiver,Dallas Cowboys,Oklahoma
Jonah Laulu,Defensive Tackle,Las Vegas Raiders,Oklahoma
Baker Mayfield,Quarterback,Tampa Bay Buccaneers,Oklahoma
Marvin Mims Jr.,Wide Receiver,Denver Broncos,Oklahoma
Joe Mixon,Running Back,Houston Texans,Oklahoma
Wanya Morris,Offensive Tackle,Kansas City Chiefs,Oklahoma
Kyler Murray,Quarterback,Arizona Cardinals,Oklahoma
Kenneth Murray Jr.,Linebacker,Tennessee Titans,Oklahoma
Ogbo Okoronkwo,Defensive End,Cleveland Browns,Oklahoma
Samaje Perine,Running Back,Kansas City Chiefs,Oklahoma
Jordan Phillips,Defensive Tackle,Buffalo Bills,Oklahoma
Ben Powers,Guard,Denver Broncos,Oklahoma
Jalen Redmond,Defensive Tackle,Minnesota Vikings,Oklahoma
Tyrese Robinson,Guard,New England Patriots,Oklahoma
Walter Rouse,Offensive Tackle,Minnesota Vikings,Oklahoma
Sterling Shepard,Wide Receiver,Tampa Bay Buccaneers,Oklahoma
Rhamondre Stevenson,Running Back,New England Patriots,Oklahoma
Isaiah Thomas,Defensive End,Cincinnati Bengals,Oklahoma
Tress Way,Punter,Washington Commanders,Oklahoma
Trent Williams,Offensive Tackle,San Francisco 49ers,Oklahoma
Brayden Willis,Tight End,San Francisco 49ers,Oklahoma
James Winchester,Long Snapper,Kansas City Chiefs,Oklahoma
Michael Woods II,Wide Receiver,Cleveland Browns,Oklahoma
Tre Flowers,Cornerback,Indianapolis Colts,Oklahoma State
Justice Hill,Running Back,Baltimore Ravens,Oklahoma State
Chuba Hubbard,Running Back,Carolina Panthers,Oklahoma State
Teven Jenkins,Guard,Chicago Bears,Oklahoma State
Tyler Lacy,Defensive Tackle,Jacksonville Jaguars,Oklahoma State
Emmanuel Ogbah,Linebacker,Miami Dolphins,Oklahoma State
Amen Ogbongbemiga,Linebacker,Chicago Bears,Oklahoma State
Mason Rudolph,Quarterback,Tennessee Titans,Oklahoma State
Tylan Wallace,Wide Receiver,Baltimore Ravens,Oklahoma State
Jaylen Warren,Running Back,Pittsburgh Steelers,Oklahoma State
Taylor Heinicke,Quarterback,Los Angeles Chargers,Old Dominion
Rick Lovato,Long Snapper,Philadelphia Eagles,Old Dominion
Zach Pascal,Wide Receiver,Arizona Cardinals,Old Dominion
Stone Smartt,Tight End,Los Angeles Chargers,Old Dominion
Daijahn Anthony,Safety,Cincinnati Bengals,Ole Miss
Nick Broeker,Guard,Houston Texans,Ole Miss
A.J. Brown,Wide Receiver,Philadelphia Eagles,Ole Miss
Ben Brown,Center,New England Patriots,Ole Miss
AJ Finley,Safety,Seattle Seahawks,Ole Miss
Malik Heath,Wide Receiver,Green Bay Packers,Ole Miss
Mike Hilton,Cornerback,Cincinnati Bengals,Ole Miss
Cedric Johnson,Defensive End,Cincinnati Bengals,Ole Miss
D.J. Jones,Defensive Tackle,Denver Broncos,Ole Miss
Benito Jones,Defensive Tackle,Miami Dolphins,Ole Miss
Dawson Knox,Tight End,Buffalo Bills,Ole Miss
Deane Leonard,Cornerback,Los Angeles Chargers,Ole Miss
DK Metcalf,Wide Receiver,Seattle Seahawks,Ole Miss
Jonathan Mingo,Wide Receiver,Dallas Cowboys,Ole Miss
Elijah Moore,Wide Receiver,Cleveland Browns,Ole Miss
Royce Newman,Guard,Tampa Bay Buccaneers,Ole Miss
De'Antre Prince,Cornerback,Jacksonville Jaguars,Ole Miss
Otis Reese IV,Linebacker,Tennessee Titans,Ole Miss
Mark Robinson,Linebacker,Pittsburgh Steelers,Ole Miss
Tavius Robinson,Linebacker,Baltimore Ravens,Ole Miss
Laremy Tunsil,Offensive Tackle,Houston Texans,Ole Miss
Kenny Yeboah,Tight End,New York Jets,Ole Miss
Ugo Amadi,Safety,New Orleans Saints,Oregon
Arik Armstead,Defensive End,Jacksonville Jaguars,Oregon
T.J. Bass,Guard,Dallas Cowboys,Oregon
Pharaoh Brown,Tight End,Seattle Seahawks,Oregon
DeForest Buckner,Defensive Tackle,Indianapolis Colts,Oregon
Brandon Dorlus,Defensive Tackle,Atlanta Falcons,Oregon
Troy Dye,Linebacker,Los Angeles Chargers,Oregon
Alex Forsyth,Center,Denver Broncos,Oregon
Troy Franklin,Wide Receiver,Denver Broncos,Oregon
Christian Gonzalez,Cornerback,New England Patriots,Oregon
Jake Hanson,Center,New York Jets,Oregon
Justin Herbert,Quarterback,Los Angeles Chargers,Oregon
Jamal Hill,Linebacker,Houston Texans,Oregon
Jevon Holland,Safety,Miami Dolphins,Oregon
Bucky Irving,Running Back,Tampa Bay Buccaneers,Oregon
Juwan Johnson,Tight End,New Orleans Saints,Oregon
DJ Johnson,Linebacker,Carolina Panthers,Oregon
Shane Lemieux,Center,New Orleans Saints,Oregon
Deommodore Lenoir,Cornerback,San Francisco 49ers,Oregon
Marcus Mariota,Quarterback,Washington Commanders,Oregon
Johnny Mundt,Tight End,Minnesota Vikings,Oregon
Bo Nix,Quarterback,Denver Broncos,Oregon
Jackson Powers-Johnson,Guard,Las Vegas Raiders,Oregon
Jordon Riley,Defensive Tackle,New York Giants,Oregon
Casey Rogers,Defensive Tackle,New York Giants,Oregon
Penei Sewell,Offensive Tackle,Detroit Lions,Oregon
Noah Sewell,Linebacker,Chicago Bears,Oregon
Kayvon Thibodeaux,Linebacker,New York Giants,Oregon
Evan Williams,Safety,Green Bay Packers,Oregon
Alex Austin,Cornerback,New England Patriots,Oregon State
Blake Brandel,Guard,Minnesota Vikings,Oregon State
Brandin Cooks,Wide Receiver,Dallas Cowboys,Oregon State
Taliese Fuaga,Offensive Tackle,New Orleans Saints,Oregon State
Anthony Gould,Wide Receiver,Indianapolis Colts,Oregon State
Johnny Hekker,Punter,Carolina Panthers,Oregon State
Jermar Jefferson,Running Back,Detroit Lions,Oregon State
Kitan Oladapo,Safety,Green Bay Packers,Oregon State
Jordan Poyer,Safety,Miami Dolphins,Oregon State
Isaac Seumalo,Guard,Pittsburgh Steelers,Oregon State
Adrian Amos,Safety,San Francisco 49ers,Penn State
Saquon Barkley,Running Back,Philadelphia Eagles,Penn State
Ji'Ayir Brown,Safety,San Francisco 49ers,Penn State
Dan Chisena,Wide Receiver,Carolina Panthers,Penn State
Jahan Dotson,Wide Receiver,Philadelphia Eagles,Penn State
Arnold Ebiketie,Linebacker,Atlanta Falcons,Penn State
Olu Fashanu,Offensive Tackle,New York Jets,Penn State
Pat Freiermuth,Tight End,Pittsburgh Steelers,Penn State
Mike Gesicki,Tight End,Cincinnati Bengals,Penn State
Yetur Gross-Matos,Defensive End,San Francisco 49ers,Penn State
Adisa Isaac,Linebacker,Baltimore Ravens,Penn State
Austin Johnson,Defensive Tackle,Buffalo Bills,Penn State
DaQuan Jones,Defensive Tackle,Buffalo Bills,Penn State
Connor McGovern,Guard,Buffalo Bills,Penn State
Hunter Nourzad,Center,Kansas City Chiefs,Penn State
Amani Oruwariye,Cornerback,Dallas Cowboys,Penn State
Odafe Oweh,Linebacker,Baltimore Ravens,Penn State
Micah Parsons,Linebacker,Dallas Cowboys,Penn State
Joey Porter Jr.,Cornerback,Pittsburgh Steelers,Penn State
Allen Robinson,Wide Receiver,Detroit Lions,Penn State
Chop Robinson,Linebacker,Miami Dolphins,Penn State
Nick Scott,Safety,Carolina Panthers,Penn State
Juice Scruggs,Center,Houston Texans,Penn State
Chris Stoll,Long Snapper,Seattle Seahawks,Penn State
Jordan Stout,Punter,Baltimore Ravens,Penn State
Brenton Strange,Tight End,Jacksonville Jaguars,Penn State
Rasheed Walker,Offensive Tackle,Green Bay Packers,Penn State
Parker Washington,Wide Receiver,Jacksonville Jaguars,Penn State
Greg Van Roten,Guard,New York Giants,Pennsylvania
Justin Watson,Wide Receiver,Kansas City Chiefs,Pennsylvania
C.J. Goodwin,Cornerback,Dallas Cowboys,PennWest California
Rico Payton,Cornerback,New Orleans Saints,Pittsburg St
Israel Abanikanda,Running Back,San Francisco 49ers,Pittsburgh
Cal Adomitis,Long Snapper,Cincinnati Bengals,Pittsburgh
Tyler Boyd,Wide Receiver,Tennessee Titans,Pittsburgh
James Conner,Running Back,Arizona Cardinals,Pittsburgh
Matt Goncalves,Offensive Tackle,Indianapolis Colts,Pittsburgh
Damar Hamlin,Safety,Buffalo Bills,Pittsburgh
Dane Jackson,Cornerback,Carolina Panthers,Pittsburgh
Pat Jones II,Linebacker,Minnesota Vikings,Pittsburgh
Calijah Kancey,Defensive Tackle,Tampa Bay Buccaneers,Pittsburgh
Lucas Krull,Tight End,Denver Broncos,Pittsburgh
Avonte Maddox,Cornerback,Philadelphia Eagles,Pittsburgh
Damarri Mathis,Cornerback,Denver Broncos,Pittsburgh
Brian O'Neill,Offensive Tackle,Minnesota Vikings,Pittsburgh
Kenny Pickett,Quarterback,Philadelphia Eagles,Pittsburgh
Jason Pinnock,Safety,New York Giants,Pittsburgh
Carter Warren,Offensive Tackle,New York Jets,Pittsburgh
Jared Wayne,Wide Receiver,Houston Texans,Pittsburgh
Quinton Bell,Linebacker,Miami Dolphins,Prairie View A&M
KhaDarel Hodge,Wide Receiver,Atlanta Falcons,Prairie View A&M
Andrei Iosivas,Wide Receiver,Cincinnati Bengals,Princeton
Payne Durham,Tight End,Tampa Bay Buccaneers,Purdue
Jalen Graham,Linebacker,San Francisco 49ers,Purdue
Charlie Jones,Wide Receiver,Cincinnati Bengals,Purdue
Sanoussi Kane,Safety,Baltimore Ravens,Purdue
George Karlaftis,Defensive End,Kansas City Chiefs,Purdue
Raheem Mostert,Running Back,Miami Dolphins,Purdue
Aidan O'Connell,Quarterback,Las Vegas Raiders,Purdue
Tyrone Tracy Jr.,Running Back,New York Giants,Purdue
Cory Trice Jr.,Cornerback,Pittsburgh Steelers,Purdue
Myles Adams,Defensive End,Detroit Lions,Rice
Chris Boswell,Place kicker,Pittsburgh Steelers,Rice
Jack Fox,Punter,Detroit Lions,Rice
Elijah Garcia,Defensive End,New York Giants,Rice
Luke McCaffrey,Wide Receiver,Washington Commanders,Rice
Tre Avery,Cornerback,Tennessee Titans,Rutgers
Michael Burton,Fullback,Denver Broncos,Rutgers
Andrew DePaola,Long Snapper,Minnesota Vikings,Rutgers
Gus Edwards,Running Back,Los Angeles Chargers,Rutgers
Christian Izien,Safety,Tampa Bay Buccaneers,Rutgers
Sebastian Joseph-Day,Defensive Tackle,Tennessee Titans,Rutgers
Bo Melton,Wide Receiver,Green Bay Packers,Rutgers
Max Melton,Cornerback,Arizona Cardinals,Rutgers
Isiah Pacheco,Running Back,Kansas City Chiefs,Rutgers
Marte Mapu,Safety,New England Patriots,Sacramento State
Julius Chestnut,Running Back,Tennessee Titans,Sacred Heart
Trevor Nowaske,Linebacker,Detroit Lions,Saginaw Valley State
Zyon McCollum,Cornerback,Tampa Bay Buccaneers,Sam Houston
Tristin McCollum,Safety,Philadelphia Eagles,Sam Houston
Michael Pierce,Defensive Tackle,Baltimore Ravens,Samford
Ross Dwelley,Tight End,Atlanta Falcons,San Diego
Josh Johnson,Quarterback,Baltimore Ravens,San Diego
Matt Araiza,Punter,Kansas City Chiefs,San Diego State
Alex Barrett,Defensive End,San Francisco 49ers,San Diego State
Daniel Bellinger,Tight End,New York Giants,San Diego State
Aaron Brewer,Long Snapper,Arizona Cardinals,San Diego State
Jack Browning,Punter,Tampa Bay Buccaneers,San Diego State
Daniel Brunskill,Offensive Tackle,Tennessee Titans,San Diego State
Damontae Kazee,Safety,Pittsburgh Steelers,San Diego State
Kevin O'Connell,Unknown,null Unknown,San Diego State
Segun Olubi,Linebacker,Indianapolis Colts,San Diego State
Zach Thomas,Offensive Tackle,Houston Texans,San Diego State
Cameron Thomas,Defensive End,Cleveland Browns,San Diego State
Josh Oliver,Tight End,Minnesota Vikings,San José State
David Quessenberry,Offensive Tackle,Minnesota Vikings,San José State
Wes Schweitzer,Guard,New York Jets,San José State
Carlos Washington Jr.,Running Back,Atlanta Falcons,SE Louisiana
Tyson Bagent,Quarterback,Chicago Bears,Shepherd
Dominique Jones,Tight End,Miami Dolphins,Shepherd
Trey Pipkins III,Offensive Tackle,Los Angeles Chargers,Sioux Falls
Kelvin Beachum,Offensive Tackle,Arizona Cardinals,SMU
Evan Brown,Center,Arizona Cardinals,SMU
Grant Calcaterra,Tight End,Philadelphia Eagles,SMU
Elijah Chatman,Defensive Tackle,New York Giants,SMU
Kylen Granson,Tight End,Indianapolis Colts,SMU
Thomas Morstead,Punter,New York Jets,SMU
James Proche II,Wide Receiver,Cleveland Browns,SMU
Brandon Stephens,Cornerback,Baltimore Ravens,SMU
Courtland Sutton,Wide Receiver,Denver Broncos,SMU
Zach Wood,Long Snapper,New Orleans Saints,SMU
Charles Woods,Cornerback,Los Angeles Rams,SMU
Carter Bradley,Quarterback,Las Vegas Raiders,South Alabama
Gerald Everett,Tight End,Chicago Bears,South Alabama
Jeremy Reaves,Safety,Washington Commanders,South Alabama
Jalen Tolbert,Wide Receiver,Dallas Cowboys,South Alabama
Nate Adkins,Tight End,Denver Broncos,South Carolina
Jalen Brooks,Wide Receiver,Dallas Cowboys,South Carolina
Jadeveon Clowney,Linebacker,Carolina Panthers,South Carolina
Marcellas Dial Jr.,Cornerback,New England Patriots,South Carolina
Rico Dowdle,Running Back,Dallas Cowboys,South Carolina
Kingsley Enagbare,Defensive End,Green Bay Packers,South Carolina
Stephon Gilmore,Cornerback,Minnesota Vikings,South Carolina
Jaycee Horn,Cornerback,Carolina Panthers,South Carolina
Hayden Hurst,Tight End,Los Angeles Chargers,South Carolina
Ernest Jones IV,Linebacker,Seattle Seahawks,South Carolina
Javon Kinlaw,Defensive Tackle,New York Jets,South Carolina
Chris Lammons,Cornerback,Indianapolis Colts,South Carolina
Xavier Legette,Wide Receiver,Carolina Panthers,South Carolina
Israel Mukuamu,Safety,Dallas Cowboys,South Carolina
Nick Muse,Tight End,Minnesota Vikings,South Carolina
Keisean Nixon,Cornerback,Green Bay Packers,South Carolina
Zacch Pickens,Defensive Tackle,Chicago Bears,South Carolina
Adam Prentice,Fullback,New Orleans Saints,South Carolina
Spencer Rattler,Quarterback,New Orleans Saints,South Carolina
Deebo Samuel Sr.,Wide Receiver,San Francisco 49ers,South Carolina
Brandon Shell,Offensive Tackle,Buffalo Bills,South Carolina
D.J. Wonnum,Linebacker,Carolina Panthers,South Carolina
Cobie Durant,Cornerback,Los Angeles Rams,South Carolina State
Antonio Hamilton Sr.,Cornerback,Atlanta Falcons,South Carolina State
Jack Cochrane,Linebacker,Kansas City Chiefs,South Dakota
Myles Harden,Cornerback,Cleveland Browns,South Dakota
Isaiah Davis,Running Back,New York Jets,South Dakota State
Tucker Kraft,Tight End,Green Bay Packers,South Dakota State
Mason McCormick,Guard,Pittsburgh Steelers,South Dakota State
Christian Rozeboom,Linebacker,Los Angeles Rams,South Dakota State
Pierre Strong Jr.,Running Back,Cleveland Browns,South Dakota State
Bruce Hector,Defensive Tackle,New York Jets,South Florida
Demontrey Jacobs,Offensive Tackle,New England Patriots,South Florida
D'Ernest Johnson,Running Back,Jacksonville Jaguars,South Florida
Marquez Valdes-Scantling,Wide Receiver,New Orleans Saints,South Florida
Ryan Flournoy,Wide Receiver,Dallas Cowboys,Southeast Missouri State
Mike Ford Jr.,Cornerback,Cleveland Browns,Southeast Missouri State
Tanner Hudson,Tight End,Cincinnati Bengals,Southern Arkansas
Jeremy Chinn,Safety,Washington Commanders,Southern Illinois
MyCole Pruitt,Tight End,Pittsburgh Steelers,Southern Illinois
Natrone Brooks,Cornerback,Atlanta Falcons,Southern Miss
Tim Jones,Wide Receiver,Jacksonville Jaguars,Southern Miss
Tarvarius Moore,Safety,Chicago Bears,Southern Miss
Nick Mullens,Quarterback,Minnesota Vikings,Southern Miss
Rakeem Nunez-Roches,Defensive Tackle,New York Giants,Southern Miss
Braxton Jones,Offensive Tackle,Chicago Bears,Southern Utah
Miles Killebrew,Safety,Pittsburgh Steelers,Southern Utah
Jake Bailey,Punter,Miami Dolphins,Stanford
Ethan Bonner,Cornerback,Miami Dolphins,Stanford
Thomas Booker IV,Defensive Tackle,Philadelphia Eagles,Stanford
Drew Dalman,Center,Atlanta Falcons,Stanford
Zach Ertz,Tight End,Washington Commanders,Stanford
Tucker Fisk,Tight End,Los Angeles Chargers,Stanford
Elijah Higgins,Tight End,Arizona Cardinals,Stanford
Austin Hooper,Tight End,New England Patriots,Stanford
Joshua Karty,Place kicker,Los Angeles Rams,Stanford
Kyu Blu Kelly,Cornerback,Las Vegas Raiders,Stanford
Walker Little,Offensive Tackle,Jacksonville Jaguars,Stanford
Tanner McKee,Quarterback,Philadelphia Eagles,Stanford
Davis Mills,Quarterback,Houston Texans,Stanford
Colby Parkinson,Tight End,Los Angeles Rams,Stanford
Andrus Peat,Guard,Las Vegas Raiders,Stanford
Harrison Phillips,Defensive Tackle,Minnesota Vikings,Stanford
Justin Reid,Safety,Kansas City Chiefs,Stanford
Foster Sarell,Offensive Tackle,Los Angeles Chargers,Stanford
Dalton Schultz,Tight End,Houston Texans,Stanford
Solomon Thomas,Defensive End,New York Jets,Stanford
Michael Wilson,Wide Receiver,Arizona Cardinals,Stanford
John Franklin-Myers,Defensive End,Denver Broncos,Stephen F. Austin
Xavier Gipson,Wide Receiver,New York Jets,Stephen F. Austin
Sam Kamara,Defensive End,Cleveland Browns,Stony Brook
Matthew Bergeron,Guard,Atlanta Falcons,Syracuse
Andre Cisco,Safety,Jacksonville Jaguars,Syracuse
Riley Dixon,Punter,Denver Broncos,Syracuse
Zaire Franklin,Linebacker,Indianapolis Colts,Syracuse
Ifeatu Melifonwu,Safety,Detroit Lions,Syracuse
Justin Outten,Unknown,null Unknown,Syracuse
Sean Tucker,Running Back,Tampa Bay Buccaneers,Syracuse
Garrett Williams,Cornerback,Arizona Cardinals,Syracuse
E.J. Speed,Linebacker,Indianapolis Colts,Tarleton State
Steve Avila,Guard,Los Angeles Rams,TCU
Brandon Coleman,Offensive Tackle,Washington Commanders,TCU
L.J. Collier,Defensive End,Arizona Cardinals,TCU
Andy Dalton,Quarterback,Carolina Panthers,TCU
Derius Davis,Wide Receiver,Los Angeles Chargers,TCU
Dylan Horton,Defensive End,Houston Texans,TCU
Jerry Hughes,Defensive End,Houston Texans,TCU
Quentin Johnston,Wide Receiver,Los Angeles Chargers,TCU
Kendre Miller,Running Back,New Orleans Saints,TCU
Tre'von Moehrig,Safety,Las Vegas Raiders,TCU
Josh Newton,Cornerback,Cincinnati Bengals,TCU
Joe Noteboom,Offensive Tackle,Los Angeles Rams,TCU
Matt Pryor,Guard,Chicago Bears,TCU
Ty Summers,Linebacker,New York Giants,TCU
KaVontae Turpin,Wide Receiver,Dallas Cowboys,TCU
Ar'Darius Washington,Safety,Baltimore Ravens,TCU
Dee Winters,Linebacker,San Francisco 49ers,TCU
Dion Dawkins,Offensive Tackle,Buffalo Bills,Temple
Sam Franklin Jr.,Safety,Carolina Panthers,Temple
Jordan Magee,Linebacker,Washington Commanders,Temple
Jacob Martin,Defensive End,Chicago Bears,Temple
David Martin-Robinson,Tight End,Tennessee Titans,Temple
Tyler Matakevich,Linebacker,Pittsburgh Steelers,Temple
Brandon McManus,Place kicker,Green Bay Packers,Temple
Michael Niese,Guard,Detroit Lions,Temple
Haason Reddick,Defensive End,New York Jets,Temple
Rock Ya-Sin,Cornerback,San Francisco 49ers,Temple
Derek Barnett,Defensive End,Houston Texans,Tennessee
Matthew Butler,Defensive Tackle,Las Vegas Raiders,Tennessee
Morgan Cox,Long Snapper,Tennessee Titans,Tennessee
Joshua Dobbs,Quarterback,San Francisco 49ers,Tennessee
Princeton Fant,Tight End,Dallas Cowboys,Tennessee
Hendon Hooker,Quarterback,Detroit Lions,Tennessee
Jalin Hyatt,Wide Receiver,New York Giants,Tennessee
Theo Jackson,Safety,Minnesota Vikings,Tennessee
Jauan Jennings,Wide Receiver,San Francisco 49ers,Tennessee
Gabe Jeudy-Lally,Cornerback,Tennessee Titans,Tennessee
Velus Jones Jr.,Wide Receiver,Carolina Panthers,Tennessee
Alvin Kamara,Running Back,New Orleans Saints,Tennessee
Ramel Keyton,Wide Receiver,Las Vegas Raiders,Tennessee
Cade Mays,Guard,Carolina Panthers,Tennessee
Jaylen McCollough,Safety,Los Angeles Rams,Tennessee
Joe Milton III,Quarterback,New England Patriots,Tennessee
Emmanuel Moseley,Cornerback,Detroit Lions,Tennessee
Michael Palardy,Punter,Arizona Cardinals,Tennessee
Joshua Palmer,Wide Receiver,Los Angeles Chargers,Tennessee
